setting,category,accuracy,avg_steps,reuse_rate,flops_reduction
baseline,baseline,80.0,299.6,0.0,0.0
token_cossim_0.96,token_cossim,82.0,314.7,96.9,96.7
token_cossim_0.97,token_cossim,82.0,315.0,96.9,96.7
token_cossim_0.98,token_cossim,81.0,315.6,96.9,96.7
token_cossim_0.99,token_cossim,82.0,315.0,96.9,96.7
token_cossim_0.995,token_cossim,82.0,315.3,96.9,96.7
token_topk_25,token_topk,82.0,306.7,73.6,73.0
token_topk_50,token_topk,85.0,299.8,49.1,49.1
layer_cossim_avg_0.97,layer_avg,27.0,370.8,88.8,86.1
layer_cossim_avg_0.98,layer_avg,59.0,307.0,70.8,70.1
layer_cossim_avg_0.99,layer_avg,75.0,307.3,24.3,22.4
layer_cossim_avg_0.995,layer_avg,85.0,307.9,7.9,5.4
layer_cossim_avg_0.999,layer_avg,83.0,310.1,0.1,-3.4
layer_cossim_max_0.97,layer_max,0.0,482.7,100.0,100.0
layer_cossim_max_0.98,layer_max,0.0,482.7,100.0,100.0
layer_cossim_max_0.99,layer_max,0.0,482.7,100.0,100.0
layer_cossim_max_0.995,layer_max,0.0,482.7,100.0,100.0
layer_cossim_max_0.999,layer_max,0.0,482.7,100.0,100.0
